Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
Date: 2016-02-19T15:23:54.000-02:00 | Amount: 2500.00
Date: 2016-02-19T05:51:07.000-02:00 | Amount: 2500.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-02-23T12:56:04.000-03:00 | Amount: 2500.00
