2016-03-03 05:50:54 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-03 05:50:55 | Code: F67C5706-BAFB-47F2-A810-483073881FE4 | Status atualizado: 2
2016-03-03 05:52:36 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-03 05:52:37 | Code: F67C5706-BAFB-47F2-A810-483073881FE4 | Status atualizado: 2
2016-03-03 05:52:38 | Code: 2EBC9D0F-1AD8-4539-817A-A579E9851FD2 | Status atualizado: 4
2016-03-03 07:47:09 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Status atualizado: 2
2016-03-03 07:47:10 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-03 07:47:10 | Code: F67C5706-BAFB-47F2-A810-483073881FE4 | Status atualizado: 2
2016-03-03 07:47:11 | Code: 2EBC9D0F-1AD8-4539-817A-A579E9851FD2 | Status atualizado: 4
2016-03-03 07:47:26 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Status atualizado: 2
2016-03-03 07:47:27 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-03 07:47:29 | Code: F67C5706-BAFB-47F2-A810-483073881FE4 | Status atualizado: 2
2016-03-03 07:47:30 | Code: 2EBC9D0F-1AD8-4539-817A-A579E9851FD2 | Status atualizado: 4
2016-03-03 06:57:07 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Status atualizado: 6
2016-03-03 06:57:09 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Status atualizado: 2
2016-03-03 06:57:11 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-03 06:57:11 | Code: F67C5706-BAFB-47F2-A810-483073881FE4 | Status atualizado: 2
2016-03-03 06:57:12 | Code: 2EBC9D0F-1AD8-4539-817A-A579E9851FD2 | Status atualizado: 4
2016-03-03 07:00:25 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Notificação enviada: 6
2016-03-03 07:00:26 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Notificação enviada: 2
2016-03-03 07:00:27 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Notificação enviada: 3
2016-03-03 07:00:31 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Notificação enviada: 6
2016-03-03 07:00:32 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Notificação enviada: 2
2016-03-03 07:00:34 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Notificação enviada: 3
2016-03-03 07:47:24 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Notificação enviada: 6
2016-03-03 07:47:25 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Notificação enviada: 2
2016-03-03 07:47:26 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Notificação enviada: 3
2016-03-03 07:52:59 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Notificação enviada: 6
2016-03-03 07:53:02 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Notificação enviada: 2
2016-03-03 07:53:03 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Notificação enviada: 3
2016-03-03 07:55:25 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Status atualizado: 6
2016-03-03 07:55:26 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Status atualizado: 2
2016-03-03 07:55:27 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-03 07:59:49 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Status atualizado: 6
